"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
Saint Kitts and Nevis,"6,596",,47,,"6,547",,2,,"122,441",872,"126,931","2,356,203","53,871","Last updated: March 01, 2023, 13:47 "
Turks and Caicos,"6,551",,38,,"6,491",,22,4,"164,842",956,"611,527","15,387,811","39,741","Last updated: March 01, 2023, 13:47 "
Sao Tome and Principe,"6,281",,77,,"6,204",,0,,"27,587",338,"29,036","127,530","227,679","Last updated: March 01, 2023, 13:47 "
Palau,"5,988",,9,,"5,976",,3,,"328,416",494,"69,136","3,791,806","18,233","Last updated: March 01, 2023, 13:47 "
St. Barth,"5,439",,6,,N/A,N/A,N/A,,"546,908",603,"78,646","7,908,095","9,945","Last updated: March 01, 2023, 13:47 "
Nauru,"5,247",,1,,"5,075",,171,,"481,244",92,"20,509","1,881,042","10,903","Last updated: March 01, 2023, 13:47 "
Kiribati,"5,013",,18,,"2,703",,"2,292",3,"40,618",146,,,"123,419","Last updated: March 01, 2023, 13:47 "
Anguilla,"3,904",,12,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230","Last updated: March 01, 2023, 13:47 "
Macao,"3,514",,121,,"3,391",+4,2,,"5,264",181,"7,850","11,760","667,490","Last updated: March 01, 2023, 13:47 "
Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488","5,759","Last updated: March 01, 2023, 13:47 "
Wallis and Futuna,"3,427",,7,,438,,"2,982",,"312,056",637,"20,508","1,867,419","10,982","Last updated: March 01, 2023, 13:47 "
Tuvalu,"2,805",,,,,,"2,805",,"232,471",,,,"12,066","Last updated: March 01, 2023, 13:47 "
Saint Helena,"2,166",,,,2,,"2,164",,"354,211",,,,"6,115","Last updated: March 01, 2023, 13:47 "
Falkland Islands,"1,930",,,,"1,930",,0,,"545,352",,"8,632","2,439,107","3,539","Last updated: March 01, 2023, 13:47 "
Montserrat,"1,403",,8,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965","Last updated: March 01, 2023, 13:47 "
Niue,788,,,,776,,12,,"485,820",,,,"1,622","Last updated: March 01, 2023, 13:47 "
Diamond Princess,712,,13,,699,,0,,,,,,,"Last updated: March 01, 2023, 13:47 "
Vatican City,29,,,,29,,0,,"36,295",,,,799,"Last updated: March 01, 2023, 13:47 "
Western Sahara,10,,1,,9,,0,,16,2,,,"626,161","Last updated: March 01, 2023, 13:47 "
MS Zaandam,9,,2,,7,,0,,,,,,,"Last updated: March 01, 2023, 13:47 "
Tokelau,5,,,,,,5,,"3,628",,,,"1,378","Last updated: March 01, 2023, 13:47 "
China,"503,302",,"5,272",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400","Last updated: March 01, 2023, 13:47 "
