"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
Hong Kong,"2,884,050",+51,"13,471",,"2,865,884",+290,"4,695",28,"379,266","1,771","76,127,725","10,011,143","7,604,299","Last updated: March 15, 2023, 01:08 "
Sweden,"2,699,339",,"23,749",,"2,672,913",+109,"2,677",8,"264,150","2,324","19,477,620","1,906,026","10,218,971","Last updated: March 15, 2023, 01:08 "
Serbia,"2,504,113","+1,020","17,900",+5,"2,471,816",+837,"14,397",15,"289,392","2,069","12,502,488","1,444,871","8,653,016","Last updated: March 15, 2023, 01:08 "
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965","Last updated: March 15, 2023, 01:08 "
New Zealand,"2,239,800",,"3,944",,"2,225,733",,"10,123",,"457,270",805,"7,768,604","1,586,011","4,898,203","Last updated: March 15, 2023, 01:08 "
Singapore,"2,234,996",,"1,722",,"2,149,583",,"83,691",1,"376,037",290,"24,756,666","4,165,302","5,943,546","Last updated: March 15, 2023, 01:08 "
Hungary,"2,196,804",,"48,762",,"2,143,788",,"4,254",14,"228,685","5,076","11,394,556","1,186,160","9,606,259","Last updated: March 15, 2023, 01:08 "
Bangladesh,"2,037,871",,"29,445",,"1,998,448",,"9,978",N/A,"12,138",175,"15,254,399","90,862","167,885,689","Last updated: March 15, 2023, 01:08 "
Slovakia,"1,864,247",+112,"21,047",+3,"1,841,845",+108,"1,355",25,"341,425","3,855","7,410,087","1,357,111","5,460,193","Last updated: March 15, 2023, 01:08 "
Georgia,"1,827,537",,"16,971",,"1,776,548",,"34,018",,"460,483","4,276","16,920,079","4,263,340","3,968,738","Last updated: March 15, 2023, 01:08 "
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869","Last updated: March 15, 2023, 01:08 "
Ireland,"1,704,502",,"8,708",,"1,693,564",+23,"2,230",8,"339,529","1,735","13,046,725","2,598,846","5,020,199","Last updated: March 15, 2023, 01:08 "
Pakistan,"1,577,700",+53,"30,645",,"1,538,689",,"8,366",14,"6,875",134,"30,570,862","133,213","229,488,994","Last updated: March 15, 2023, 01:08 "
Norway,"1,479,746",+67,"5,213",,"1,473,694",+19,839,20,"268,490",946,"11,002,430","1,996,315","5,511,370","Last updated: March 15, 2023, 01:08 "
Finland,"1,463,644",,"8,967",,"1,452,892",+80,"1,785",21,"263,484","1,614","12,057,338","2,170,554","5,554,960","Last updated: March 15, 2023, 01:08 "
Kazakhstan,"1,408,124",,"13,846",,"1,383,020",,"11,258",24,"73,321",721,"11,575,012","602,707","19,205,043","Last updated: March 15, 2023, 01:08 "
Slovenia,"1,333,582",+747,"7,083",+1,"1,321,160",+588,"5,339",4,"641,752","3,409","2,842,275","1,367,771","2,078,034","Last updated: March 15, 2023, 01:08 "
